##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	79	120	1.52				1	525	1	12	96	485	Automatic	515			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		18.801	15.0526	15.109	15.0632	14.9722	15.0182	15.0136	14.9668	15.0366	14.9582	14.9498	15.1176		
		2992.963	3707.476	3294.101	3147.433	3472.044	3256.454	3738.417	3549.277	3944.852	3937.782	4113.863	3481.641		
		18.9512	15.213	15.2574	15.2194	15.1228	15.1698	15.2444	15.1612	15.1862	15.1086	15.0998	15.2688		
		2829.794	2899.174	3612.728	3132.782	3303.516	3499.042	3468.554	3618.577	3885.132	4345.471	4422.026	4108.689		
		19.1016	15.3744	15.4078	15.3796	15.2828	15.3188	15.3938	15.3172	15.3366	15.259	15.2502	15.4184		
		2875.115	3236.639	3037.883	3113.541	3393.784	3494.956	3780.809	3491.051	4008.272	4492.532	4431.951	3834.908		
		
	36.99	19.522	15.7394	15.7592	15.7598	15.6732	15.6788	15.744	15.7174	15.6966	15.679	15.6706	15.7684		
		3715.927	3420.086	3813.393	3115.601	2848.466	2846.866	2873.674	3322.647	3666.543	3392.656	3726.629	3773.757		
		19.762	15.8932	15.9302	15.9198	15.8332	15.9384	15.8942	15.8678	15.8758	15.919	15.8306	15.9476		
		3276.221	3570.059	3765.917	3223.635	2954.086	3076.902	2967.752	3352.823	3754.033	4268.402	3804.893	4020.908		
		19.9122	16.0444	16.1684	16.122	15.9832	16.091	16.0446	16.0276	16.037	16.0694	15.9906	16.1104		
		2960.87	3007.367	3180.904	3224.713	3243.475	3197.201	3143.164	3311.238	3581.524	3917.766	3434.958	3573.192		
		20.0644	16.2056	16.3188	16.2804	16.1446	16.2498	16.2392	16.2196	16.1886	16.2206	16.1418	16.2588		
		2840.545	2859.683	3041.436	3584.188	3003.461	3354.575	3699.894	3478.158	3887.887	3947.24	3979.568	3721.859		
		20.2224	16.3536	16.4796	16.4402	16.3036	16.4098	16.3948	16.3782	16.3478	16.3798	16.3014	16.4092		
		3002.86	3103.341	3111.188	3042.211	3044.781	3236.345	3632.21	3507.231	3496.997	3830.931	3991.195	3451.509		
		20.3726	16.5042	16.6288	16.5904	16.454	16.5606	16.5452	16.5382	16.5078	16.5298	16.461	16.5692		
		3008.908	3644.593	3250.096	3153.665	3485.276	3237.288	3759.182	3568.137	3979.944	3893.78	4060.301	3517.355		
		20.523	16.6642	16.7794	16.7408	16.6442	16.7102	16.7066	16.6882	16.6574	16.6802	16.6714	16.7216		
		2874.81	2907.263	3629.658	3131.702	3286.37	3469.531	3468.45	3597.373	3981.041	4264	4465.798	4092.765		
		20.7578	16.8742	16.9392	16.9008	16.8042	16.9056	16.8552	16.8404	16.8082	16.915	16.8322	16.88		
		2841.72	3262.402	3028.11	3116.869	3360.848	3503.996	3841.132	3509.133	3993.445	4479.877	4432.59	3825.629		
		
	36.99	21.0434	17.2446	17.2916	17.2814	17.1944	17.1908	17.297	17.278	17.2182	17.2006	17.1922	17.2904		
		3707.812	3415.704	3794.301	3124.806	2880.663	2838.408	2910.119	3339.383	3663.912	3408.09	3697.828	3772.797		
		21.2034	17.3952	17.4496	17.4414	17.3446	17.3506	17.456	17.439	17.3786	17.3606	17.3522	17.45		
		3328.368	3563.112	3790.374	3240.052	2980.224	3086.828	3051.842	3373.538	3725.625	4300.299	3829.004	3926.674		
		21.3536	17.557	17.5998	17.5916	17.495	17.5008	17.616	17.5894	17.5286	17.511	17.5026	17.6		
		2980.292	2934.246	3172.92	3240.438	3253.342	3145.196	3145.003	3282.671	3565.564	3890.922	3465.414	3564.948		
		21.5228	17.715	17.7502	17.7532	17.715	17.6512	17.766	17.7398	17.6798	17.6802	17.7426	17.7504		
		2899.087	2794.625	3082.583	3517.704	3010.914	3368.74	3643.584	3475.911	3896.016	3919.291	3980.96	3746.313		
		21.6838	17.9356	17.911	17.9018	17.8654	17.8112	17.9164	17.8996	17.839	17.843	17.8926	17.9104		
		2963.077	3097.329	3157.961	3019.555	3065.654	3279.758	3626.892	3542.63	3478.495	3784.581	4008.05	3386.851		
		21.8844	18.0954	18.0602	18.0522	18.0256	18.0324	18.0764	18.0496	18.031	18.0414	18.043	18.1416		
		3060.576	3693.063	3210.948	3176.763	3411.046	3275.193	3743.858	3571.897	3973.299	3929.978	4024.575	3487.294		
		22.0444	18.2468	18.2908	18.2384	18.1854	18.1916	18.2266	18.2	18.1894	18.2018	18.2034	18.3012		
		2862.462	2880.993	3555.19	3121.262	3266.693	3470.133	3414.514	3595.782	3961.259	4317.39	4423.535	4151.642		
		22.1956	18.3962	18.4506	18.3922	18.3358	18.3516	18.427	18.41	18.3502	18.3518	18.3546	18.4608		
		2848.126	3245.465	3067.865	3147.692	3379.058	3483.01	3827.967	3490.104	4035.007	4496.935	4494.286	3850.25		
		
	36.99	22.5648	18.756	18.821	18.8026	18.7964	18.7232	18.7882	18.7706	18.7398	18.7222	18.7934	18.8124		
		3754.374	3395.614	3847.914	3136.718	2867.462	2808.886	2918.578	3341.481	3676.067	3416.416	3670.781	3744.873		
		22.7148	19.0156	18.9712	18.953	18.9566	18.8938	18.9492	18.9314	18.8998	18.8722	18.9438	18.9832		
		3346.524	3598.453	3805.404	3266.194	2976.137	3092.321	3004.858	3382.312	3780.656	4257.712	3890.65	3974.28		
		22.9772	19.1682	19.1216	19.1142	19.1166	19.0926	19.0974	19.1028	19.0898	19.1026	19.1242	19.202		
		3209.442	2961.245	3159.99	3219.734	3258.914	3154.459	3162.395	3332.357	3612.31	3951.059	3402.672	3554.789		
		23.1252	19.327	19.3524	19.2968	19.2668	19.2524	19.2478	19.2612	19.2506	19.2626	19.2738	19.362		
		3031.387	2777.623	3076.579	3514.928	3006.474	3404.07	3639.038	3544.013	3910.282	3929.936	3973.508	3753.36		
		23.2756	19.487	19.502	19.4536	19.427	19.4028	19.4886	19.4712	19.4006	19.413	19.4242	19.5132		
		3291.681	3051.896	3100.105	2994.853	3069.507	3325.222	3639.718	3569.936	3480.993	3819.306	4038.786	3470.197		
		23.436	19.6378	19.6622	19.6138	19.5868	19.553	19.638	19.6224	19.551	19.5734	19.5846	19.6728		
		3453.631	3655.346	3252.161	3192.237	3432.384	3236.775	3696.764	3553.392	3976.966	3915.723	4059.103	3498.203		
		23.5858	19.7874	19.822	19.7736	19.7672	19.713	19.7884	19.7814	19.711	19.733	19.7874	19.8324		
		3294.102	2892.444	3545.034	3101.365	3248.601	3487.077	3410.587	3602.11	3901.467	4326.44	4501.851	4106.64		
		23.7362	19.9832	19.9724	19.9258	19.9284	19.863	19.9482	19.9316	19.8622	19.8846	19.945	19.984		
		3270.388	3241.317	3058.399	3176.06	3320.699	3521.44	3813.474	3458.754	4052.886	4465.297	4467.194	3821.197		
		
	36.99	24.0762	20.288	20.4126	20.355	20.2178	20.2452	20.3106	20.2918	20.2614	20.2438	20.225	20.3336		
		4569.36	3403.81	3801.607	3128	2857.991	2810.916	2857.668	3319.237	3656.308	3426.77	3712.091	3728.062		
		24.2266	20.4478	20.563	20.5146	20.378	20.3938	20.5488	20.4738	20.4114	20.3938	20.3754	20.5048		
		3785.115	3565.195	3778.533	3201.025	2985.374	3110.721	3021.721	3305.411	3768.763	4246.537	3889.091	3971.852		
		24.3886	20.598	20.723	20.6746	20.5378	20.554	20.6992	20.6342	20.5626	20.555	20.5546	20.6636		
		3645.331	2908.13	3194.085	3249.099	3213.765	3220.682	3164.13	3334.318	3578.248	3950.311	3410.309	3531.867		
		24.5368	20.7484	20.8744	20.825	20.7068	20.714	20.86	20.7924	20.7234	20.7262	20.7074	20.8232		
		3512.028	2810.793	3073.277	3502.084	3047.277	3390.535	3658.1	3517.236	3868.434	3972.233	4002.76	3751.108		
		24.687	20.9082	21.0336	20.985	20.8982	20.8652	21.0094	20.9428	20.8718	20.8846	20.9158	20.9736		
