,Plate Read,Concentration,Compound,Avg Fluorescence,Standard Deviation,Avg Time
1043,44,10^-09,Compound C,5612.20575,570.3400362423422,66.54945000000001
1044,44,10^-10,Compound A,3119.798,434.3320167483275,66.44245000000001
1045,44,10^-10,Compound B,3742.2832500000004,384.86611087092484,66.4041
1046,44,10^-10,Compound C,4987.09175,167.51474856138861,66.39715000000001
1047,44,10^-11,Compound A,3009.455,171.06279338691272,66.279
1048,44,10^-11,Compound B,3490.9685,227.90526692832006,66.24889999999999
1049,44,10^-11,Compound C,4551.65975,129.65866129027745,66.24055
1050,44,10^-12,Compound A,3368.983,295.2330491764062,66.12355
1051,44,10^-12,Compound B,3326.21325,403.3930825347868,66.0542
1052,44,10^-12,Compound C,4503.375,192.4775291560066,66.07455
1053,44,Control,Compound A,3325.849,225.2859969949296,65.93955
1054,44,Control,Compound B,3218.08875,365.18732159297195,65.8991
1055,44,Control,Compound C,3884.861,198.16808571682046,65.92095
1056,45,10^-06,Compound A,7713.101,1392.844029699669,68.59154999999998
1057,45,10^-06,Compound B,10389.063,478.64151511892373,68.5488
1058,45,10^-06,Compound C,12965.38675,1798.7370606992442,68.54915
1059,45,10^-07,Compound A,5529.83375,751.7992975412958,68.43854999999999
1060,45,10^-07,Compound B,9870.96675,441.1084660166733,68.39305
1061,45,10^-07,Compound C,10726.1025,1677.5859834298503,68.39875
1062,45,10^-08,Compound A,5125.3997500000005,1618.5690376138557,68.28815
1063,45,10^-08,Compound B,5806.142500000001,200.511078747077,68.2063
1064,45,10^-08,Compound C,6412.14575,586.2448978287707,68.24385000000001
1065,45,10^-09,Compound A,3100.199,173.94144662691977,68.1031
1066,45,10^-09,Compound B,3893.3942500000003,249.24103696538916,68.05365
1067,45,10^-09,Compound C,5610.2065,594.2075853720289,68.08375000000001
1068,45,10^-10,Compound A,3123.0105,432.546665206967,67.9353
1069,45,10^-10,Compound B,3702.97875,382.65052910488646,67.88305
1070,45,10^-10,Compound C,5038.924999999999,191.02155379085707,67.89085
1071,45,10^-11,Compound A,3004.2214999999997,166.06965340784583,67.75789999999999
1072,45,10^-11,Compound B,3499.91925,176.00152924406652,67.72845
1073,45,10^-11,Compound C,4540.75675,211.1942483203141,67.73665
1074,45,10^-12,Compound A,3351.8355,298.8514797515041,67.60015
1075,45,10^-12,Compound B,3322.2214999999997,349.6926676807362,67.56009999999999
1076,45,10^-12,Compound C,4515.10475,265.358603850675,67.55895
1077,45,Control,Compound A,3350.99825,213.91942510732613,67.44775
1078,45,Control,Compound B,3200.05,324.74353958675306,67.40055
1079,45,Control,Compound C,3860.10575,150.65726710733625,67.40295
1080,46,10^-06,Compound A,7641.36825,1317.4149597079297,70.11305
1081,46,10^-06,Compound B,10322.046750000001,436.96368549670916,70.07425
1082,46,10^-06,Compound C,12954.88275,1779.4404231009132,70.12515
1083,46,10^-07,Compound A,5562.26925,730.8458177893921,69.94795
1084,46,10^-07,Compound B,9857.5045,445.9992090504959,69.9076
1085,46,10^-07,Compound C,10780.4105,1772.2418000875766,69.92034999999998
1086,46,10^-08,Compound A,5170.293,1605.9838344396053,69.7946
1087,46,10^-08,Compound B,5843.70225,202.0297596912877,69.73785
1088,46,10^-08,Compound C,6438.207,581.9912954801416,69.75615
